SEND PAYMENT 35
FORWARD SUCCESS  30
RECEIVE SUCCESS 30
FORWARD PAYMENT 31
RECEIVE PAYMENT 32
FORWARD PAYMENT 35
FORWARD PAYMENT 33
FINDROUTE 36
SEND PAYMENT 36
FORWARD PAYMENT 35
FORWARD PAYMENT 35
Not enough balance in channel 23097
FORWARD PAYMENT 36
FORWARD PAYMENT 31
FORWARD PAYMENT 34
FORWARD FAIL 35
FORWARD FAIL 35
FORWARD FAIL 22
FORWARD PAYMENT 34
FORWARD PAYMENT 33
FORWARD SUCCESS  32
FORWARD PAYMENT 33
FORWARD PAYMENT 36
FORWARD PAYMENT 34
RECEIVE FAIL 35
FINDROUTE 35
SEND PAYMENT 35
FORWARD PAYMENT 31
FORWARD PAYMENT 36
FORWARD PAYMENT 34
FORWARD FAIL 22
FORWARD PAYMENT 34
FORWARD PAYMENT 35
FORWARD SUCCESS  32
FORWARD PAYMENT 35
FORWARD PAYMENT 36
FORWARD PAYMENT 33
FORWARD PAYMENT 36
FORWARD PAYMENT 31
RECEIVE PAYMENT 31
FORWARD PAYMENT 33
FORWARD PAYMENT 35
FORWARD FAIL 22
FORWARD PAYMENT 33
FORWARD SUCCESS  32
RECEIVE FAIL 22
FINDROUTE 22
SEND PAYMENT 22
FORWARD SUCCESS  31
FORWARD PAYMENT 34
FORWARD PAYMENT 22
FORWARD SUCCESS  32
FORWARD PAYMENT 35
RECEIVE PAYMENT 36
FORWARD PAYMENT 33
FORWARD PAYMENT 34
FORWARD PAYMENT 35
FORWARD SUCCESS  31
FORWARD SUCCESS  32
FORWARD PAYMENT 22
FINDROUTE 37
SEND PAYMENT 37
FORWARD PAYMENT 35
FORWARD SUCCESS  36
FORWARD SUCCESS  36
FORWARD PAYMENT 34
RECEIVE PAYMENT 33
FORWARD SUCCESS  31
FORWARD SUCCESS  32
FORWARD SUCCESS  36
FORWARD PAYMENT 37
FORWARD SUCCESS  32
FORWARD PAYMENT 34
FORWARD PAYMENT 37
FORWARD PAYMENT 22
FORWARD SUCCESS  31
FINDROUTE 38
SEND PAYMENT 38
FORWARD SUCCESS  36
FORWARD PAYMENT 35
Not enough balance in channel 29658
FORWARD SUCCESS  33
FORWARD SUCCESS  31
RECEIVE PAYMENT 34
RECEIVE SUCCESS 32
FORWARD PAYMENT 22
FORWARD SUCCESS  33
FORWARD SUCCESS  36
FORWARD SUCCESS  33
FORWARD SUCCESS  34
FORWARD PAYMENT 37
FORWARD PAYMENT 37
RECEIVE SUCCESS 36
FORWARD PAYMENT 38
FORWARD SUCCESS  31
FORWARD FAIL 35
FORWARD SUCCESS  34
FORWARD SUCCESS  33
FORWARD SUCCESS  31
FORWARD PAYMENT 22
FINDROUTE 39
SEND PAYMENT 39
FORWARD FAIL 35
FORWARD PAYMENT 38
FORWARD PAYMENT 38
FORWARD PAYMENT 39
FORWARD PAYMENT 37
FINDROUTE 40
SEND PAYMENT 40
FORWARD PAYMENT 39
FORWARD PAYMENT 37
FORWARD FAIL 35
FORWARD SUCCESS  31
FORWARD SUCCESS  34
FORWARD SUCCESS  33
FORWARD SUCCESS  33
FORWARD PAYMENT 22
FORWARD FAIL 35
RECEIVE PAYMENT 38
FORWARD PAYMENT 22
FORWARD SUCCESS  34
FORWARD PAYMENT 39
FORWARD PAYMENT 40
FORWARD SUCCESS  31
FORWARD PAYMENT 37
FINDROUTE 41
SEND PAYMENT 41
FORWARD PAYMENT 40
FORWARD SUCCESS  33
FORWARD FAIL 35
FORWARD FAIL 35
FORWARD SUCCESS  31
FORWARD PAYMENT 41
FINDROUTE 42
SEND PAYMENT 42
FORWARD PAYMENT 39
FORWARD SUCCESS  31
FORWARD PAYMENT 22
FORWARD SUCCESS  38
FORWARD SUCCESS  38
FORWARD PAYMENT 37
FORWARD SUCCESS  34
FORWARD SUCCESS  34
FORWARD PAYMENT 37
RECEIVE FAIL 35
FINDROUTE 35
SEND PAYMENT 35
FORWARD PAYMENT 40
RECEIVE PAYMENT 37
RECEIVE SUCCESS 33
FORWARD PAYMENT 22
FORWARD PAYMENT 22
FORWARD SUCCESS  37
FORWARD SUCCESS  34
FORWARD PAYMENT 41
FINDROUTE 43
SEND PAYMENT 43
FORWARD SUCCESS  37
